checkingstatus1,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,tele,foreign
0,1.289592031872302,2,1,1.9257663831384437,4,4,0.052280634896496016,2,0,1.053413018870969,3,1.057783942218908,2,2,-0.7187454693270836,2,-0.4364357804719845,0,0
3,-0.742595017696657,2,4,-0.8928525713645623,0,4,0.9421637820708985,2,0,1.053413018870969,2,0.2424489262702798,2,1,-0.7187454693270836,2,-0.4364357804719845,0,0
0,1.289592031872302,4,3,0.816433415252783,0,2,0.052280634896496016,2,2,-0.7472929962930807,1,-0.6634788692281958,2,1,1.045047093438766,2,-0.4364357804719845,0,0
1,1.289592031872302,1,5,0.299568088447757,4,1,0.052280634896496016,1,0,-0.7472929962930807,3,-0.5728860896783482,0,1,-0.7187454693270836,0,-0.4364357804719845,0,0
1,2.3056855566567815,2,0,1.9826552532864263,4,3,-1.727485659452309,1,0,-0.7472929962930807,2,-1.025849987427586,2,1,-0.7187454693270836,2,-0.4364357804719845,0,0
3,0.2734985070878224,4,1,-0.31572995446858104,0,3,0.9421637820708985,2,0,0.15306001128894414,2,-0.029329412379262863,2,1,1.045047093438766,2,-0.4364357804719845,1,0
1,-0.06519933450700406,2,1,1.2270063794128943,4,0,-1.727485659452309,0,0,1.053413018870969,0,2.235490076366926,2,1,-0.7187454693270836,3,-0.4364357804719845,1,0
3,-0.742595017696657,4,7,-0.9314022662674716,0,2,0.9421637820708985,2,0,-0.7472929962930807,2,-0.30110775102880555,2,1,1.045047093438766,2,-0.4364357804719845,0,0
1,2.3056855566567815,1,0,3.360713278844794,4,0,0.9421637820708985,2,1,1.053413018870969,3,0.0612633671705847,2,2,-0.7187454693270836,3,-0.4364357804719845,1,0
1,-0.742595017696657,2,0,-0.8808759671228817,1,1,0.9421637820708985,1,0,-0.7472929962930807,1,-1.1164427669774335,0,1,-0.7187454693270836,1,-0.4364357804719845,0,0
3,0.2734985070878224,4,4,-0.22889957371639708,3,4,-0.8376025122779064,2,0,-0.7472929962930807,2,-0.11992219192911042,2,1,-0.7187454693270836,2,-0.4364357804719845,0,0
1,0.7815452694800622,4,0,0.3965037290288589,0,0,0.9421637820708985,3,0,-0.7472929962930807,2,-0.6634788692281958,2,1,1.045047093438766,3,-0.4364357804719845,0,0
3,1.289592031872302,2,4,0.24155641165211686,4,4,-0.8376025122779064,1,0,1.053413018870969,0,0.8765983831192128,2,1,-0.7187454693270836,1,-0.4364357804719845,1,0
1,-0.742595017696657,0,8,-0.666045628537737,0,2,-0.8376025122779064,2,0,-0.7472929962930807,0,-0.3917005305786531,2,1,-0.7187454693270836,1,-0.4364357804719845,1,0
0,-0.2345482553044173,2,3,0.1723166683799012,0,1,-1.727485659452309,1,0,1.053413018870969,2,-1.207035546527281,2,0,-0.7187454693270836,2,-0.4364357804719845,0,0
1,-0.48857163650053714,2,6,-0.6271216647522752,1,2,0.9421637820708985,2,2,-0.7472929962930807,0,-1.207035546527281,2,1,-0.7187454693270836,2,-0.4364357804719845,0,0
0,0.01947512589170256,2,4,-0.2184200450049266,0,1,0.9421637820708985,1,0,1.053413018870969,1,-0.6634788692281958,2,0,-0.7187454693270836,3,-0.4364357804719845,1,0
0,0.2734985070878224,2,3,-0.5399170151175388,0,1,0.9421637820708985,2,1,-1.6476460038751053,1,-1.025849987427586,2,1,-0.7187454693270836,1,-0.4364357804719845,0,1
2,-0.742595017696657,2,3,-0.35128549831107014,0,2,-1.727485659452309,1,0,-0.7472929962930807,2,0.9671911626690604,2,1,-0.7187454693270836,1,-0.4364357804719845,0,0
